date, description, maxDrawdown, maxDrawdownDuration, maxProfit, maxProfitDuration, numOfLosses, positionDuration, runningPnL, totalLossPnL, totalTrades, totalWinPnL,numOfWins
2/1/2001,BreakdownCounterTrend,-450,201,1150,1080,1,1860,-475.932,-475.932,1,0,0
2/1/2001,Breakup,-1250,628,0,0,1,646,-1175.9432,-1175.9432,1,0,0
2/5/2001,BreakdownCounterTrend,-600,699,10650,10767,0,13869,8074.5728,0,1,8074.5728,1
2/5/2001,Breakdown,-1750,87,0,0,1,120,-1675.2712,-1675.2712,1,0,0
2/7/2001,BreakdownCounterTrend,-1100,610,0,0,1,3601,-725.72,-725.72,1,0,0
2/7/2001,Breakup,-950,823,300,149,1,881,-875.7288,-875.7288,1,0,0
2/8/2001,BreakdownCounterTrend,-950,296,0,0,1,1710,-975.3848,-975.3848,1,0,0
2/8/2001,Breakup,-1750,1595,0,0,1,1705,-1675.4008,-1675.4008,1,0,0
2/12/2001,Breakup,-150,40,1650,1708,0,2641,774.928,0,1,774.928,1
2/13/2001,Breakdown,-3100,953,550,48,1,971,-3025.4176,-3025.4176,1,0,0
2/14/2001,Breakdown,-650,155,2250,2032,0,2150,2124.4584,0,1,2124.4584,1
2/15/2001,Breakdown,-1950,1383,0,0,1,1404,-1875.1944,-1875.1944,1,0,0
2/15/2001,Breakup,-800,1376,800,930,1,1570,-425.2928,-425.2928,1,0,0
2/16/2001,BreakdownCounterTrend,-100,0,12000,2311,0,4549,8974.912,0,1,8974.912,1
2/20/2001,Breakup,-1250,2514,800,379,1,4561,-424.872,-424.872,1,0,0
2/21/2001,Breakup,-1550,15808,2900,936,1,15819,-1224.544,-1224.544,1,0,0
2/22/2001,Breakdown,-3800,12446,0,0,1,12459,-3724.1696,-3724.1696,1,0,0
2/23/2001,BreakdownCounterTrend,-1700,1069,650,168,1,1098,-1624.3904,-1624.3904,1,0,0
2/23/2001,Breakup,-3350,2846,3100,14674,1,15295,401.1704,-1224.384,2,1625.5544,1
2/26/2001,Breakdown,-300,13,3000,889,0,1543,1625.6328,0,1,1625.6328,1
2/27/2001,Breakdown,-2500,710,8400,12288,0,16172,4376.2656,0,1,4376.2656,1
2/28/2001,Breakdown,-1100,436,2850,1514,0,12109,976.6272,0,1,976.6272,1
2/28/2001,Breakup,-350,39,1150,121,1,248,-223.688,-223.688,1,0,0
3/1/2001,Breakdown,-450,11,10400,4096,0,4460,8326.9848,0,1,8326.9848,1
3/2/2001,Breakdown,-1050,662,4600,1562,0,4427,2577.5584,0,1,2577.5584,1
3/5/2001,Breakup,-600,12,7500,2229,0,4349,5927.5096,0,1,5927.5096,1
3/6/2001,BreakdownCounterTrend,-1300,787,350,486,1,850,-972.756,-972.756,1,0,0
3/6/2001,Breakup,-1900,3098,3900,12515,0,14770,577.2624,0,1,577.2624,1
3/7/2001,BreakdownCounterTrend,-1050,1106,8900,12779,0,13779,5777.296,0,1,5777.296,1
3/7/2001,Breakdown,-150,0,8400,2337,0,3337,5277.304,0,1,5277.304,1
3/8/2001,Breakup,-100,0,12600,15502,0,15938,9677.5056,0,1,9677.5056,1
3/9/2001,Breakdown,-5100,2823,1350,36,2,2857,-4745.184,-4745.184,2,0,0
3/9/2001,Breakup,-4300,2034,900,394,1,9296,-3972.6344,-3972.6344,1,0,0
3/12/2001,Breakdown,-650,183,6250,12625,0,13398,3978.12,0,1,3978.12,1
3/13/2001,BreakdownCounterTrend,-1050,13970,3550,11644,1,13978,-921.3968,-921.3968,1,0,0
3/13/2001,Breakdown,-4500,2345,100,19,1,2353,-4371.3416,-4371.3416,1,0,0
3/13/2001,Breakup,-50,0,4450,182,0,2349,1728.6568,0,1,1728.6568,1
3/14/2001,BreakdownCounterTrend,0,0,8300,1641,0,3324,4528.4952,0,1,4528.4952,1
3/14/2001,Breakdown,-1950,1729,1900,50,1,1733,-1871.4024,-1871.4024,1,0,0
3/14/2001,Breakup,-2350,1613,1250,579,1,4167,-2171.7368,-2171.7368,1,0,0
