PnL,year,month,cumulative,PnL ratio
7201.6176,2001,2,125000,0.057612941
56534.5304,2001,3,132201.6176,0.427638719
760.3256,2001,4,188736.148,0.004028511
-2235.6808,2001,5,189496.4736,-0.011798007
13365.1912,2001,6,187260.7928,0.071372074
-5220.624,2001,7,200625.984,-0.026021674
14365.1744,2001,8,195405.36,0.073514741
-12141.5896,2001,9,209770.5344,-0.057880339
4062.2768,2001,10,197628.9448,0.02055507
11203.7432,2001,11,201691.2216,0.055548988
3656.3136,2001,12,212894.9648,0.017174261
9681.948,2002,1,216551.2784,0.044709725
2058.5696,2002,2,226233.2264,0.009099325
10782.3224,2002,3,228291.796,0.047230442
3917.6808,2002,4,239074.1184,0.016386888
-35178.3984,2002,5,242991.7992,-0.144771957
13397.5424,2002,6,207813.4008,0.064469098
-915.0848,2002,7,221210.9432,-0.004136707
8112.9504,2002,8,220295.8584,0.036827521
-9488.3336,2002,9,228408.8088,-0.041541014
5275.8144,2002,10,218920.4752,0.024099228
468.9456,2002,11,224196.2896,0.002091674
1672.1032,2002,12,224665.2352,0.007442643
10924.9392,2003,1,226337.3384,0.048268391
3845.2384,2003,2,237262.2776,0.016206699
8648.6824,2003,3,241107.516,0.035870646
1874.9544,2003,4,249756.1984,0.007507139
277.2192,2003,5,251631.1528,0.001101689
-10488.9552,2003,6,251908.372,-0.041637978
6753.9432,2003,7,241419.4168,0.027975973
1871.332,2003,8,248173.36,0.007540423
3357.4448,2003,9,250044.692,0.013427379
-13834.4624,2003,10,253402.1368,-0.054594892
-4976.9432,2003,11,239567.6744,-0.020774686
9992.0536,2003,12,234590.7312,0.042593557
-3267.1664,2004,1,244582.7848,-0.013358121
-16822.6056,2004,2,241315.6184,-0.069712046
17250.4528,2004,3,224493.0128,0.076841825
-5315.3712,2004,4,241743.4656,-0.021987652
16765.6888,2004,5,236428.0944,0.070912422
-17487.6744,2004,6,253193.7832,-0.06906834
7163.8264,2004,7,235706.1088,0.030393045
11932.7304,2004,8,242869.9352,0.049132184
-1148.9568,2004,9,254802.6656,-0.004509202
-12942.2776,2004,10,253653.7088,-0.051023412
-4874.8168,2004,11,240711.4312,-0.020251705
-11197.904,2004,12,235836.6144,-0.047481618
529.3944,2005,1,224638.7104,0.002356648
4642.4624,2005,2,225168.1048,0.020617762
9264.9264,2005,3,229810.5672,0.040315493
-8909.648,2005,4,239075.4936,-0.03726709
-6221.708,2005,5,230165.8456,-0.027031413
-4809.2904,2005,6,223944.1376,-0.021475402
-4289.316,2005,7,219134.8472,-0.019573865
6148.692,2005,8,214845.5312,0.028619129
17098.9544,2005,9,220994.2232,0.077372857
-1736.8544,2005,10,238093.1776,-0.007294852
-11276.9248,2005,11,236356.3232,-0.047711543
1010.128,2005,12,225079.3984,0.004487874
-4321.5432,2006,1,226089.5264,-0.019114301
4299.9624,2006,2,221767.9832,0.019389464
7920.9184,2006,3,226067.9456,0.035037778
3011.6704,2006,4,233988.864,0.012870999
-2634.4568,2006,5,237000.5344,-0.011115826
11769.4704,2006,6,234366.0776,0.050218319
15233.8272,2006,7,246135.548,0.061892024
29080.9144,2006,8,261369.3752,0.111263664
22833.5944,2006,9,290450.2896,0.078614466
1815.5032,2006,10,313283.884,0.005795074
9000.592,2006,11,315099.3872,0.028564295
-7843.9,2006,12,324099.9792,-0.0242021
32927.928,2007,1,316256.0792,0.104117929
24049.0672,2007,2,349184.0072,0.06887219
46832.9152,2007,3,373233.0744,0.125479006
7413.3712,2007,4,420065.9896,0.017648111
15537.752,2007,5,427479.3608,0.036347374
-19069.78,2007,6,443017.1128,-0.043045245
45425.02,2007,7,423947.3328,0.107147791
22642.2792,2007,8,469372.3528,0.048239482
-2320.7936,2007,9,492014.632,-0.00471692
55456.4768,2007,10,489693.8384,0.113247242
49327.532,2007,11,545150.3152,0.090484277
5502.868,2007,12,594477.8472,0.009256641
26590.1744,2008,1,599980.7152,0.044318382
